Gene_ID/FPKM	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
Cstf2	41.8096	34.063	29.2193	29.4658	36.2469
Nutf2	15.6554	16.359	13.0745	15.9747	17.2944
Sox8	50.0314	40.4353	37.5777	33.1342	40.363
Slc25a15	13.77	11.9967	10.1733	10.7976	13.3417
Axin1	19.6756	18.6277	16.0995	16.0305	19.0982
Adnp	40.5696	33.9438	30.1049	30.7769	35.5321
Gltpd1	7.95893	7.48492	6.11347	6.85946	7.85402
Zfp518a	2.70654	1.93631	1.7743	1.89021	2.02052
l7Rn6	47.0495	36.3133	29.0914	31.132	35.9832
Thoc2	10.2121	8.12058	7.97634	7.49216	8.35627
Tsfm	35.3468	32.0442	24.2828	31.0607	35.1117
Ints9	11.4781	9.78258	8.06915	8.69835	11.2739
Gmeb1	5.66262	5.81843	4.73795	4.78732	6.15966
Mfsd10	11.0785	9.08737	6.88326	8.29294	9.22842
Asxl1	12.1445	10.1541	9.04762	9.52815	11.7891
Ccdc141	7.43945	5.77634	5.81892	6.03721	7.72531
Psmd3	133.714	118.8	99.0488	103.87	123.537
Kif7	5.17025	4.1446	3.37968	3.74567	4.98596
Plk2	69.8043	78.901	60.1755	60.7919	64.5089
Bend5	4.43737	2.81059	2.34888	2.44067	3.76887
Celrr	3.8004	4.11042	2.04242	4.0993	3.03936
Traf2	9.22741	9.17866	6.92619	8.409	9.34195
Itgb3bp	3.68475	2.50941	1.87872	2.81921	3.04191
Nfatc3	13.8159	12.8333	11.1154	11.728	13.0011
Mars	57.3758	54.9954	46.3551	48.8235	64.338
Frat2	3.55395	3.50394	2.09619	2.93881	3.7463
Psma1	137.317	98.7314	83.6732	92.7495	121.704
2900009J06Rik	2.2734	1.69799	1.45545	1.21842	1.58167
Tagln3	21.7644	28.0229	16.9961	17.2203	13.1098
Riok1	9.16456	6.9698	6.66978	6.43537	8.023
Rbm6	16.8519	14.3864	11.2721	13.7337	15.5122
Mtss1l	202.841	220.147	163.587	186.325	215.958
R3hcc1l	6.77337	5.99995	4.85867	4.80123	6.06214
Zc3h13	10.7159	9.5413	7.65162	8.39038	10.2228
Papola	62.8774	48.9556	42.7368	47.7383	51.7173
Ppp1r7	20.3896	17.9489	15.4782	15.6919	19.9397
Nmb	2.41976	4.88627	2.846	2.11197	2.91167
Gtf2h4	16.5338	15.9969	11.291	12.8548	17.271
Ddx54	31.9	31.3251	23.2588	26.3594	31.2483
Hist1h3i	1.16738	0.641146	0.799013	0.622751	0.641546
Rpl22l1	53.3241	59.6648	42.0734	41.7606	61.1075
Daxx	14.9757	14.8221	10.8225	12.7547	13.8579
Bcan	201.959	245.931	204.707	195.269	239.001
Dhx16	19.9739	19.3914	14.1307	18.384	19.3462
Elp3	40.6728	35.8327	30.8619	33.0549	43.2581
Alg9	19.3458	18.1302	13.9525	15.8647	18.166
Med16	13.6569	13.9697	11.1979	12.1207	12.6339
Snrnp48	13.5695	10.6793	8.71709	9.71571	11.8105
Rpl18	111.597	128.261	85.445	91.2463	99.8629
Alg8	11.2687	8.72288	7.85126	9.50509	11.9816
Adora1	25.3185	27.062	22.3957	22.4862	25.6709
Ccnd1	513.93	525.216	347.358	461.799	481.711
Gpm6a	115.458	86.6232	82.9574	74.1458	75.9797
Trim33	8.38653	6.57052	6.80982	6.47657	7.77079
Zfp236	5.64421	5.27202	4.71936	4.71989	6.03316
Erf	33.0658	33.436	23.6126	28.2627	41.2714
Immp2l	5.50242	4.34518	3.64198	2.30983	3.7654
Tmem107	12.7497	11.538	7.93657	8.98899	13.0313
Nacc1	57.3287	58.8557	46.7461	52.0783	59.4572
Zmym2	14.0143	9.97102	9.94717	8.62255	11.0695
Bri3bp	15.7754	12.5267	11.6301	11.7004	15.5438
Mrpl19	8.61642	7.70153	5.93178	6.57497	7.7392
Igf2bp2	14.9338	13.9051	9.79058	14.2533	21.5228
Prpf38a	46.9797	37.0589	30.6648	33.036	41.6741
Ccp110	7.18801	5.16986	4.89567	5.20507	6.08083
Gm5512	8.102894635	7.41230786	7.023851448	5.18136204	5.767393762
